序号,TP,TN,FP,FN
1,,2.0,,
2,,2.0,,
3,,,,4.0
4,,2.0,,
5,4.0,,,
6,,,2.0,
7,,,2.0,
8,,2.0,,
9,,2.0,,
10,,,2.0,
11,,2.0,,
12,4.0,,,
13,,2.0,,
14,4.0,,,
15,4.0,,,
16,,,,2.0
17,4.0,,,
18,,,,2.0
19,4.0,,,
20,,,,4.0
21,4.0,,,
22,4.0,,,
23,4.0,,,
24,4.0,,,
25,,,4.0,
26,4.0,,,
27,,,,4.0
28,4.0,,,
29,,2.0,,
30,,,4.0,
31,,,,4.0
32,4.0,,,
33,4.0,,,
34,4.0,,,
35,,4.0,,
36,4.0,,,
37,4.0,,,
38,4.0,,,
39,,4.0,,
40,,,,2.0
41,,,,4.0
42,4.0,,,
43,4.0,,,
44,4.0,,,
45,4.0,,,
46,,,,2.0
47,,,2.0,
48,,,2.0,
49,,,2.0,
50,,2.0,,
