序号,TP,TN,FP,FN
1,,,,2.0
2,4.0,,,
3,4.0,,,
4,4.0,,,
5,,,,2.0
6,,2.0,,
7,4.0,,,
8,,,1.0,
9,4.0,,,
10,,,1.0,
11,4.0,,,
12,,,,2.0
13,4.0,,,
14,,2.0,,
15,4.0,,,
16,4.0,,,
17,4.0,,,
18,,2.0,,
19,,,,2.0
20,4.0,,,
21,,2.0,,
22,4.0,,,
23,4.0,,,
24,,,1.0,
25,4.0,,,
26,,,,2.0
27,4.0,,,
28,4.0,,,
29,4.0,,,
30,,,1.0,
31,4.0,,,
32,,,,2.0
33,,,1.0,
34,4.0,,,
35,,2.0,,
36,4.0,,,
37,,,1.0,
38,4.0,,,
39,,4.0,,
40,4.0,,,
41,4.0,,,
42,,,1.0,
43,4.0,,,
44,4.0,,,
45,4.0,,,
46,,2.0,,
47,,4.0,,
48,4.0,,,
49,4.0,,,
50,,,1.0,
